# PyFAI 1D azimuthal integration
# Input file: E:/Sample2/CK2-0.3s-insuit-006-300-to-700/CK2-0.3s-insuit-006-300-to-700_saxs/series_1410_data_000001.h5
# Dataset: /entry/data/data
# Timestamp: Thu Apr 23 16:31:26 2026
# Radial	Intensity	Sigma
2.846662e-03	2.600610e+02	3.407540e+00
7.317916e-03	2.573449e+02	2.102739e+00
1.178917e-02	2.583739e+02	1.665248e+00
1.626042e-02	2.692085e+02	1.450997e+00
2.073168e-02	2.755018e+02	1.298232e+00
2.520293e-02	2.805920e+02	1.184625e+00
2.967419e-02	2.847667e+02	1.100218e+00
3.414544e-02	2.909783e+02	1.039483e+00
3.861670e-02	2.981315e+02	9.902530e-01
4.308795e-02	3.028891e+02	9.433970e-01
4.755920e-02	3.067642e+02	9.016367e-01
5.203046e-02	3.098539e+02	8.672972e-01
5.650171e-02	3.157152e+02	8.419667e-01
6.097297e-02	3.263912e+02	8.236564e-01
6.544422e-02	3.553911e+02	8.271192e-01
6.991547e-02	4.578178e+02	9.047805e-01
7.438673e-02	5.523536e+04	9.409156e+00
7.885798e-02	2.048671e+05	1.821376e+01
8.332924e-02	2.715738e+05	2.027156e+01
8.780049e-02	3.182152e+05	2.133374e+01
9.227175e-02	3.486192e+05	2.172889e+01
9.674300e-02	3.760699e+05	2.220968e+01
1.012143e-01	3.290968e+05	2.030357e+01
1.056855e-01	2.863789e+05	1.853405e+01
1.101568e-01	2.508594e+05	1.696942e+01
1.146280e-01	2.199999e+05	1.556891e+01
1.190993e-01	1.941906e+05	1.436644e+01
1.235705e-01	1.725932e+05	1.330183e+01
1.280418e-01	1.534275e+05	1.231323e+01
1.325130e-01	1.368666e+05	1.142281e+01
1.369843e-01	1.226030e+05	1.063856e+01
1.414555e-01	1.105215e+05	9.954181e+00
1.459268e-01	9.937370e+04	9.289512e+00
1.503981e-01	8.984115e+04	8.691545e+00
1.548693e-01	8.153011e+04	8.152365e+00
1.593406e-01	7.394555e+04	7.660049e+00
1.638118e-01	6.721462e+04	7.211226e+00
1.682831e-01	6.130766e+04	6.792319e+00
1.727543e-01	5.606708e+04	6.404696e+00
1.772256e-01	5.130663e+04	6.047412e+00
1.816968e-01	4.707559e+04	5.726249e+00
1.861681e-01	4.319251e+04	5.420723e+00
1.906393e-01	3.983406e+04	5.216413e+00
1.951106e-01	3.686487e+04	5.081038e+00
1.995818e-01	3.411915e+04	4.900139e+00
2.040531e-01	3.153401e+04	4.712528e+00
2.085244e-01	2.925618e+04	4.533960e+00
2.129956e-01	2.715116e+04	4.357562e+00
2.174669e-01	2.525004e+04	4.188084e+00
2.219381e-01	2.340405e+04	4.016625e+00
2.264094e-01	2.179417e+04	3.864413e+00
2.308806e-01	2.029586e+04	3.714537e+00
2.353519e-01	1.894642e+04	3.572468e+00
2.398231e-01	1.771340e+04	3.437886e+00
2.442944e-01	1.655429e+04	3.307662e+00
2.487656e-01	1.550216e+04	3.187303e+00
2.532369e-01	1.451010e+04	3.070078e+00
2.577082e-01	1.362067e+04	2.960166e+00
2.621794e-01	1.276924e+04	2.852138e+00
2.666507e-01	1.198534e+04	2.725001e+00
2.711219e-01	1.119539e+04	2.550937e+00
2.755932e-01	1.050898e+04	2.421774e+00
2.800644e-01	9.876442e+03	2.309149e+00
2.845357e-01	9.303985e+03	2.210711e+00
2.890069e-01	8.771279e+03	2.121455e+00
2.934782e-01	8.270695e+03	2.036217e+00
2.979494e-01	7.815367e+03	1.957194e+00
3.024207e-01	7.376559e+03	1.880470e+00
3.068919e-01	6.979908e+03	1.810779e+00
3.113632e-01	6.608990e+03	1.746092e+00
3.158345e-01	6.263939e+03	1.683944e+00
