# PyFAI 1D azimuthal integration
# Input file: E:/Sample2/CK2-0.3s-insuit-006-300-to-700/CK2-0.3s-insuit-006-300-to-700_saxs/series_1410_data_000001.h5
# Dataset: /entry/data/data
# Timestamp: Thu Apr 23 16:34:33 2026
# Radial	Intensity	Sigma
2.846662e-03	2.041546e+02	3.014935e+00
7.317916e-03	2.036824e+02	1.870784e+00
1.178917e-02	2.073930e+02	1.494493e+00
1.626042e-02	2.147816e+02	1.296246e+00
2.073168e-02	2.220499e+02	1.165676e+00
2.520293e-02	2.247899e+02	1.060662e+00
2.967419e-02	2.275837e+02	9.835280e-01
3.414544e-02	2.338678e+02	9.317428e-01
3.861670e-02	2.381774e+02	8.843157e-01
4.308795e-02	2.439737e+02	8.467566e-01
4.755920e-02	2.460324e+02	8.072991e-01
5.203046e-02	2.489655e+02	7.772304e-01
5.650171e-02	2.511461e+02	7.506386e-01
6.097297e-02	2.594719e+02	7.344020e-01
6.544422e-02	2.806819e+02	7.345936e-01
6.991547e-02	3.639821e+02	8.066173e-01
7.438673e-02	4.286704e+04	8.299012e+00
7.885798e-02	1.581770e+05	1.600128e+01
8.332924e-02	2.117069e+05	1.790630e+01
8.780049e-02	2.478315e+05	1.882703e+01
9.227175e-02	2.710396e+05	1.914928e+01
9.674300e-02	2.938464e+05	1.963255e+01
1.012143e-01	2.576521e+05	1.796351e+01
1.056855e-01	2.255869e+05	1.644839e+01
1.101568e-01	1.977000e+05	1.505839e+01
1.146280e-01	1.750040e+05	1.388526e+01
1.190993e-01	1.553742e+05	1.285192e+01
1.235705e-01	1.380328e+05	1.189313e+01
1.280418e-01	1.234274e+05	1.104282e+01
1.325130e-01	1.106327e+05	1.026855e+01
1.369843e-01	9.962445e+04	9.589552e+00
1.414555e-01	9.006441e+04	8.984939e+00
1.459268e-01	8.165928e+04	8.422243e+00
1.503981e-01	7.393409e+04	7.884459e+00
1.548693e-01	6.733224e+04	7.408320e+00
1.593406e-01	6.134948e+04	6.976120e+00
1.638118e-01	5.617979e+04	6.593280e+00
1.682831e-01	5.130007e+04	6.213590e+00
1.727543e-01	4.706295e+04	5.868343e+00
1.772256e-01	4.321311e+04	5.549484e+00
1.816968e-01	3.980321e+04	5.265387e+00
1.861681e-01	3.669397e+04	4.996981e+00
1.906393e-01	3.393146e+04	4.814393e+00
1.951106e-01	3.144718e+04	4.693034e+00
1.995818e-01	2.914907e+04	4.529646e+00
2.040531e-01	2.705329e+04	4.365398e+00
2.085244e-01	2.509549e+04	4.199461e+00
2.129956e-01	2.334109e+04	4.040873e+00
2.174669e-01	2.176171e+04	3.887749e+00
2.219381e-01	2.027091e+04	3.738297e+00
2.264094e-01	1.891236e+04	3.599427e+00
2.308806e-01	1.765208e+04	3.464263e+00
2.353519e-01	1.648893e+04	3.332930e+00
2.398231e-01	1.543061e+04	3.208033e+00
2.442944e-01	1.444867e+04	3.089639e+00
2.487656e-01	1.355699e+04	2.980671e+00
2.532369e-01	1.269211e+04	2.871292e+00
2.577082e-01	1.192043e+04	2.769416e+00
2.621794e-01	1.119044e+04	2.670155e+00
2.666507e-01	1.049712e+04	2.550346e+00
2.711219e-01	9.830259e+03	2.390673e+00
2.755932e-01	9.241227e+03	2.270898e+00
2.800644e-01	8.708165e+03	2.168292e+00
2.845357e-01	8.202908e+03	2.075677e+00
2.890069e-01	7.734657e+03	1.992196e+00
