# PyFAI 1D azimuthal integration
# Input file: E:/duizhao/ZSZ-Bkg-0.3s-003/ZSZ-Bkg-0.3s-003_saxs/series_1455_data_000001.h5
# Dataset: /entry/data/data
# Timestamp: Sat Apr 25 12:18:53 2026
# Radial	Intensity	Sigma
5.706959e-01	1.069593e+01	4.994002e-02
5.751672e-01	1.067734e+01	4.969619e-02
5.796385e-01	1.072543e+01	4.955334e-02
5.841097e-01	1.070874e+01	4.924305e-02
5.885810e-01	1.067182e+01	4.902879e-02
5.930522e-01	1.061658e+01	4.876235e-02
5.975235e-01	1.063844e+01	4.860885e-02
6.019947e-01	1.064468e+01	4.836987e-02
6.064660e-01	1.056255e+01	4.798006e-02
6.109372e-01	1.059379e+01	4.793958e-02
6.154085e-01	1.065107e+01	4.793378e-02
6.198797e-01	1.063464e+01	4.762736e-02
6.243510e-01	1.056845e+01	4.722289e-02
6.288222e-01	1.061021e+01	4.717321e-02
6.332935e-01	1.052924e+01	4.686715e-02
6.377648e-01	1.047008e+01	4.661778e-02
6.422360e-01	1.062564e+01	4.674912e-02
6.467073e-01	1.060982e+01	4.645926e-02
6.511785e-01	1.054222e+01	4.615686e-02
6.556498e-01	1.056256e+01	4.613133e-02
6.601210e-01	1.047388e+01	4.579032e-02
6.645923e-01	1.049985e+01	4.565397e-02
6.690635e-01	1.057941e+01	4.560260e-02
6.735348e-01	1.053076e+01	4.533138e-02
6.780060e-01	1.060772e+01	4.546349e-02
6.824773e-01	1.055821e+01	4.516802e-02
6.869486e-01	1.051667e+01	4.482827e-02
6.914198e-01	1.055392e+01	4.477593e-02
6.958911e-01	1.056779e+01	4.471353e-02
7.003623e-01	1.054528e+01	4.453858e-02
7.048336e-01	1.049280e+01	4.424387e-02
7.093048e-01	1.053372e+01	4.413740e-02
7.137761e-01	1.059949e+01	4.412202e-02
7.182473e-01	1.057762e+01	4.400735e-02
7.227186e-01	1.056706e+01	4.387575e-02
7.271898e-01	1.055525e+01	4.361949e-02
7.316611e-01	1.046550e+01	4.322359e-02
7.361324e-01	1.045512e+01	4.310937e-02
7.406036e-01	1.049873e+01	4.316366e-02
7.450749e-01	1.052172e+01	4.309006e-02
7.495461e-01	1.046191e+01	4.273315e-02
7.540174e-01	1.045988e+01	4.259291e-02
7.584886e-01	1.041619e+01	4.242597e-02
7.629599e-01	1.045369e+01	4.245319e-02
7.674311e-01	1.042269e+01	4.222047e-02
7.719024e-01	1.045730e+01	4.210408e-02
7.763736e-01	1.051171e+01	4.208177e-02
7.808449e-01	1.055070e+01	4.207665e-02
7.853161e-01	1.045489e+01	4.177813e-02
7.897874e-01	1.040234e+01	4.150700e-02
7.942587e-01	1.052624e+01	4.160016e-02
7.987299e-01	1.043985e+01	4.130419e-02
8.032012e-01	1.050506e+01	4.138579e-02
8.076724e-01	1.042977e+01	4.109836e-02
8.121437e-01	1.040316e+01	4.089312e-02
8.166149e-01	1.043738e+01	4.082668e-02
8.210862e-01	1.043305e+01	4.071053e-02
8.255574e-01	1.044451e+01	4.065773e-02
8.300287e-01	1.039927e+01	4.045165e-02
8.344999e-01	1.050929e+01	4.055650e-02
8.389712e-01	1.039112e+01	4.017823e-02
8.434425e-01	1.038478e+01	4.007423e-02
8.479137e-01	1.036352e+01	4.037574e-02
8.523850e-01	1.038199e+01	4.073154e-02
8.568562e-01	1.027785e+01	4.063284e-02
8.613275e-01	1.039627e+01	4.098346e-02
8.657987e-01	1.039320e+01	4.102505e-02
8.702700e-01	1.037296e+01	4.106240e-02
8.747412e-01	1.031114e+01	4.096983e-02
8.792125e-01	1.044160e+01	4.129644e-02
8.836837e-01	1.037206e+01	4.115115e-02
8.881550e-01	1.039750e+01	4.121082e-02
8.926262e-01	1.038845e+01	4.118240e-02
8.970975e-01	1.048126e+01	4.140176e-02
9.015688e-01	1.043607e+01	4.131954e-02
9.060400e-01	1.036427e+01	4.114795e-02
9.105113e-01	1.035324e+01	4.108843e-02
9.149825e-01	1.043434e+01	4.126305e-02
